PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=7.97 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=11.3 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=7.68 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=10.1 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=11.9 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=8.31 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=11.1 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=23.0 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=10.0 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=7.44 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=8.16 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=10.8 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=5.98 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=13.9 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=6.92 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=3.35 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=12.8 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=4.68 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=10.5 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=12.1 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=8.74 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=9.07 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=6.72 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=8.60 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=8.21 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=10.0 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=11.6 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=11.4 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=7.70 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=10.2 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=6.06 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=5.37 ms
64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=9.97 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=8.10 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=6.92 ms
64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=11.5 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=10.4 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=0.091 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=0.041 ms
64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=0.606 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=18.2 ms
64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=6.65 ms
64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=4.56 ms
64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=4.87 ms
64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=8.42 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=12.8 ms
